"NAME","RANK_PROJECTED","RANK_PROJECTED_LIVE","RANK_SCORED","FANTASY_POINTS_PROJECTED","FANTASY_POINTS_PROJECTED_LIVE","FANTASY_POINTS_SCORED","IPO_PRICE","SUGGESTED_PRICE","LAST_PRICE","BID_PRICE","ASK_PRICE","FINAL_PRICE","PROJECTED_VALUATION","CURRENT_VALUATION","TRADEABLE_ID","ENTITY_ID","TEAM_ID","TEAM_ABBREVIATION","EVENT_ID","EVENT_NAME"
"Jonas Valanciunas",61,63,61,28.86,28.86,"NULL","NULL",3.31,"NULL","NULL","NULL","NULL","2.29","2.29","tdbl_6369e253c08de5cf8d1c1ad7764c997b","en_8d1c1ad7764c997b0db885553bb42b48","team_5d4cd39927492d235af4ebdf3c541ed4","NOP","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Mikal Bridges",62,65,62,28.38,28.38,"NULL","NULL",3.27,"NULL","NULL","NULL","NULL","2.22","2.22","tdbl_6369e253c08de5cf4d6d905196dd90c8","en_4d6d905196dd90c87f3a61c09353d8b4","team_b24eab7ad40329a6c2d98499001984d6","PHX","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Tre Jones",63,64,63,28.41,28.41,"NULL","NULL",3.42,"NULL","NULL","NULL","NULL","2.15","2.15","tdbl_6369e253c08de5cf5fda36124e65b205","en_5fda36124e65b20590a61f5da0a5138a","team_a81cc369e80e7779c099c9acc75d1d2d","SAS","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Josh Hart",64,51,64,30.78,30.78,"NULL","NULL",3.78,"NULL","NULL","NULL","NULL","2.08","2.08","tdbl_6369e253c08de5cf01e420d6a93820ae","en_01e420d6a93820aedbdbfbba1919c3fb","team_25ee4cc4ceb6e55bf09e36b84fafffe3","POR","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Mike Conley",65,66,65,28.27,28.27,"NULL","NULL",3.32,"NULL","NULL","NULL","NULL","2","2","tdbl_6369e253c08de5cf2c3266def21aaa4b","en_2c3266def21aaa4bda3b4e2c77f34fce","team_1a5bcc13aa6b9c181ed4a0e9eb55d5d4","UTA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"John Collins",66,67,66,27.85,27.85,"NULL","NULL",3.31,"NULL","NULL","NULL","NULL","1.93","1.93","tdbl_6369e253c08de5cfd69d46129a5ecc84","en_d69d46129a5ecc849c083c99e86ebf65","team_4d7379c8d756e5a15190c56b550778a8","ATL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Marcus Smart",67,68,67,27.62,27.62,"NULL","NULL",3.27,"NULL","NULL","NULL","NULL","1.86","1.86","tdbl_6369e253c08de5cf049fe8ca7bf97ec4","en_049fe8ca7bf97ec4f11727a7d6462147","team_1fb9f79b7b84d69cf4ca8b6c43ca0817","BOS","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Grayson Allen",68,71,68,27.06,27.06,"NULL","NULL",2.8,"NULL","NULL","NULL","NULL","1.79","1.79","tdbl_6369e253c08de5cf3ca2dc749cee3306","en_3ca2dc749cee3306f2687f901ade45d8","team_a6917fcb35a29ee9de8c00be7e36f5ae","MIL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Anfernee Simons",69,43,69,32.23,32.23,"NULL","NULL",3.71,"NULL","NULL","NULL","NULL","1.72","1.72","tdbl_6369e253c08de5cffbca95e65989951a","en_fbca95e65989951afa24366d636e3fe5","team_25ee4cc4ceb6e55bf09e36b84fafffe3","POR","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"D'Angelo Russell",70,70,70,27.11,27.11,"NULL","NULL",3.02,"NULL","NULL","NULL","NULL","1.65","1.65","tdbl_6369e253c08de5cf9d527de0f0298cd6","en_9d527de0f0298cd6c322ad4cdf60872b","team_d83b7e99efe8e32e00e57f311b7f2474","MIN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Brandon Clarke",71,72,71,26.97,26.97,"NULL","NULL",2.72,"NULL","NULL","NULL","NULL","1.58","1.58","tdbl_6369e253c08de5cfd6171dfea381a48f","en_d6171dfea381a48f9dcae732aa575747","team_ee38041b627b686997c75b66a27c2d63","MEM","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Aaron Gordon",72,73,72,26.95,26.95,"NULL","NULL",2.8,"NULL","NULL","NULL","NULL","1.5","1.5","tdbl_6369e253c08de5cf55086ea38656fe99","en_55086ea38656fe999b9ecfe8d4aa16dd","team_0d0866361e9040ebffc04d6b5615caf7","DEN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Malcolm Brogdon",73,74,73,26.81,26.81,"NULL","NULL",2.68,"NULL","NULL","NULL","NULL","1.44","1.44","tdbl_6369e253c08de5cf5a3e191272ee8dca","en_5a3e191272ee8dca833c8074c7507e7c","team_1fb9f79b7b84d69cf4ca8b6c43ca0817","BOS","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
