player,ipo_price,final_payout,roi,name,position,fantasy_points_scored,sector_code,date,num_pos,num_neg,num_neutral,sum_sent_score,total_tweets,avg_sent_score,pos_perc,neg_perc,neutral_perc,lag_sum_sent_score,lag_avg_sent_score,lag_total_tweets,lag_pos_perc
Stephen Curry,9.23,8.5,-0.07908992416034674,NBA Daily Main Market 10/21,PG,45.75,NBA,2022-10-21,444,243,235,28.0283169021455,922,0.03039947603269577,0.48156182212581344,0.2635574837310195,0.25488069414316705,94.2385624927616,0.04025568666927023,2341,0.4574967962409227
Klay Thompson,2.03,1,-0.5073891625615763,NBA Daily Main Market 10/21,SG,23,NBA,2022-10-21,194,114,74,23.4638885632559,382,0.06142379205040811,0.5078534031413613,0.29842931937172773,0.193717277486911,1.69220376035401,0.005512064365973974,307,0.4169381107491857
Jayson Tatum,9.5,6.84,-0.28,NBA Daily Main Market 10/21,SF,44.25,NBA,2022-10-21,376,154,326,48.8359102560454,856,0.05705129702809042,0.4392523364485981,0.17990654205607476,0.3808411214953271,9.33321069104682,0.026514803099564832,352,0.34375
Devin Booker,8.25,7.25,-0.12121212121212122,NBA Daily Main Market 10/21,SG,44.75,NBA,2022-10-21,107,39,83,12.9579618434399,229,0.056584986215894764,0.4672489082969432,0.1703056768558952,0.3624454148471616,34.7513381422872,0.046961267759847575,740,0.44054054054054054
Jordan Poole,3.59,1,-0.7214484679665738,NBA Daily Main Market 10/21,SG,21.25,NBA,2022-10-21,183,199,185,-2.81287928738289,567,-0.004960986397500688,0.32275132275132273,0.3509700176366843,0.3262786596119929,6.23370476456893,0.014984867222521467,416,0.41346153846153844
Tyrese Haliburton,8.25,10,0.21212121212121213,NBA Daily Main Market 10/21,PG,47.75,NBA,2022-10-21,86,35,47,8.34471333957476,168,0.049670912735564045,0.5119047619047619,0.20833333333333334,0.27976190476190477,6.19990023806114,0.0815776347113308,76,0.5921052631578947
Deandre Ayton,5.02,4.38,-0.1274900398406374,NBA Daily Main Market 10/21,C,38.5,NBA,2022-10-21,42,32,29,1.04246816092604,103,0.010121050106078059,0.4077669902912621,0.3106796116504854,0.2815533980582524,4.10414812744879,0.030177559760652867,136,0.4411764705882353
Damian Lillard,6.47,16,1.4729520865533232,NBA Daily Main Market 10/21,PG,56.25,NBA,2022-10-21,145,61,198,16.2222890487929,404,0.04015418081384381,0.3589108910891089,0.15099009900990099,0.4900990099009901,5.95296037969343,0.02577039125408411,231,0.4588744588744589
Chris Paul,5.15,5.5,0.06796116504854362,NBA Daily Main Market 10/21,PG,41,NBA,2022-10-21,255,169,145,11.6996212217553,569,0.020561724467056768,0.44815465729349735,0.29701230228471004,0.2548330404217926,21.7961727766461,0.015646929487901005,1393,0.4005743000717875
DeMar DeRozan,8.86,9,0.015801354401805936,NBA Daily Main Market 10/21,SG,47.5,NBA,2022-10-21,285,159,171,22.2161372854556,615,0.03612380046415545,0.4634146341463415,0.25853658536585367,0.2780487804878049,28.4057263373587,0.04974733158906953,571,0.4711033274956217
Marcus Smart,2.99,1,-0.6655518394648829,NBA Daily Main Market 10/21,PG,13.75,NBA,2022-10-21,350,117,12,55.9591431829202,479,0.11682493357603382,0.7306889352818372,0.24425887265135698,0.025052192066805846,20.5617614945721,0.10879238886016984,189,0.6878306878306878
Rudy Gobert,7.25,4.63,-0.3613793103448276,NBA Daily Main Market 10/21,C,38.75,NBA,2022-10-21,298,275,167,-2.46303963968474,740,-0.003328431945519919,0.4027027027027027,0.3716216216216216,0.22567567567567567,21.3884945754836,0.05512498601928762,388,0.5128865979381443
Ja Morant,12.35,25,1.0242914979757085,NBA Daily Main Market 10/21,PG,74.5,NBA,2022-10-21,924,660,821,61.4171049039846,2405,0.025537257756334555,0.3841995841995842,0.27442827442827444,0.3413721413721414,47.9996727311406,0.05417570285681783,886,0.5022573363431151
CJ McCollum,5.44,2.66,-0.5110294117647058,NBA Daily Main Market 10/21,SG,32,NBA,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fred VanVleet,5.23,13,1.4856596558317399,NBA Daily Main Market 10/21,PG,51.75,NBA,2022-10-21,33,14,25,3.13286980287222,72,0.043512080595447505,0.4583333333333333,0.19444444444444445,0.3472222222222222,1.87650342384398,0.06053236851109613,31,0.7096774193548387
Anthony Edwards,5.65,4.88,-0.13628318584070803,NBA Daily Main Market 10/21,SG,39.25,NBA,2022-10-21,90,81,83,1.02768671736933,254,0.004046010698304449,0.3543307086614173,0.3188976377952756,0.32677165354330706,8.991045898473,0.054162927099234946,166,0.4457831325301205
Trae Young,8.5,6.17,-0.2741176470588235,NBA Daily Main Market 10/21,PG,43,NBA,2022-10-21,736,205,11,105.687822760057,952,0.11101662054627837,0.773109243697479,0.21533613445378152,0.011554621848739496,35.0442523225356,0.10041333043706475,349,0.7650429799426934
Karl-Anthony Towns,8.31,3.3,-0.6028880866425993,NBA Daily Main Market 10/21,C,33.5,NBA,2022-10-21,52,46,33,-0.0645484233251691,131,-4.927360559173214e-4,0.3969465648854962,0.3511450381679389,0.25190839694656486,2.98745991759469,0.050634913857537114,59,0.4915254237288136
Pascal Siakam,8.19,20,1.4420024420024422,NBA Daily Main Market 10/21,PF,69.5,NBA,2022-10-21,191,122,145,17.7276167959013,458,0.038706586890614195,0.4170305676855895,0.2663755458515284,0.3165938864628821,4.15094710224576,0.0553459613632768,75,0.5866666666666667
Nikola Jokic,15.5,15,-0.03225806451612903,NBA Daily Main Market 10/21,C,54,NBA,2022-10-21,75,48,43,3.55963041815525,166,0.021443556735875,0.45180722891566266,0.2891566265060241,0.25903614457831325,1.25652177100862,0.008376811806724133,150,0.41333333333333333
Brandon Ingram,6.73,14,1.0802377414561664,NBA Daily Main Market 10/21,SF,52.75,NBA,2022-10-21,282,152,201,34.5923395303918,635,0.054476125244711494,0.4440944881889764,0.23937007874015748,0.3165354330708661,28.4679642252246,0.060313483528018214,472,0.4703389830508475
Joel Embiid,15.85,9,-0.43217665615141954,NBA Daily Main Market 10/20,C,29,NBA,2022-10-20,453,547,227,-28.3858079583541,1227,-0.023134317814469518,0.3691931540342298,0.44580277098614507,0.1850040749796251,-3.62064142014152,-0.006619088519454332,547,0.4113345521023766
