player,ipo_price,final_payout,roi,name,position,fantasy_points_scored,sector_code,date
Joel Embiid,16.55,12,-0.2749244712990937,NBA Daily Main Market 10/18,C,50.25,NBA,2022-10-18
Andrew Wiggins,8.02,12,0.4962593516209477,NBA Daily Late Market 10/18,SF,39,NBA,2022-10-18
Klay Thompson,6.33,8,0.26382306477093204,NBA Daily Late Market 10/18,SG,25,NBA,2022-10-18
Andrew Wiggins,5.85,9,0.5384615384615385,NBA Daily Main Market 10/18,SF,39,NBA,2022-10-18
Klay Thompson,5.5,5.5,0,NBA Daily Main Market 10/18,SG,25,NBA,2022-10-18
Stephen Curry,15.83,25,0.5792798483891346,NBA Daily Late Market 10/18,PG,59.5,NBA,2022-10-18
Marcus Smart,5.8,7.5,0.2931034482758621,NBA Daily Main Market 10/18,PG,29.25,NBA,2022-10-18
Stephen Curry,12.5,20,0.6,NBA Daily Main Market 10/18,PG,59.5,NBA,2022-10-18
Anthony Davis,16.54,16,-0.0326481257557436,NBA Daily Late Market 10/18,PF,40,NBA,2022-10-18
Jayson Tatum,13.65,25,0.8315018315018314,NBA Daily Main Market 10/18,SF,60.5,NBA,2022-10-18
Anthony Davis,13.33,10,-0.24981245311327832,NBA Daily Main Market 10/18,PF,40,NBA,2022-10-18
Jordan Poole,8.75,7,-0.2,NBA Daily Late Market 10/18,SG,24,NBA,2022-10-18
Jordan Poole,6.85,5,-0.2700729927007299,NBA Daily Main Market 10/18,SG,24,NBA,2022-10-18
LeBron James,18.5,20,0.08108108108108109,NBA Daily Late Market 10/18,SF,57.5,NBA,2022-10-18
LeBron James,15.56,14,-0.10025706940874039,NBA Daily Main Market 10/18,SF,57.5,NBA,2022-10-18
James Harden,11.75,16,0.3617021276595745,NBA Daily Main Market 10/31,SG,58.75,NBA,2022-10-31
Kevin Durant,13.5,20,0.48148148148148145,NBA Daily Main Market 10/31,SF,61.25,NBA,2022-10-31
Giannis Antetokounmpo,18.75,9.5,-0.49333333333333335,NBA Daily Main Market 10/31,PF,43.75,NBA,2022-10-31
Jrue Holiday,8.35,12,0.43712574850299407,NBA Daily Main Market 10/31,PG,50.25,NBA,2022-10-31
Tyrese Haliburton,10.05,4.13,-0.5890547263681593,NBA Daily Main Market 10/31,PG,27.5,NBA,2022-10-31
Dejounte Murray,8.6,6.67,-0.22441860465116276,NBA Daily Main Market 10/31,PG,36.5,NBA,2022-10-31
Bradley Beal,7.44,6,-0.19354838709677424,NBA Daily Main Market 10/31,SG,33.75,NBA,2022-10-31
De'Aaron Fox,9.5,1,-0.8947368421052632,NBA Daily Main Market 10/31,PG,7.5,NBA,2022-10-31
Kyrie Irving,12.31,13,0.05605199025182774,NBA Daily Main Market 10/31,PG,53,NBA,2022-10-31
Cade Cunningham,7.79,10.5,0.34788189987163026,NBA Daily Main Market 10/31,PG,45,NBA,2022-10-31
Domantas Sabonis,9,6.84,-0.24000000000000002,NBA Daily Main Market 10/31,PF,37,NBA,2022-10-31
Pascal Siakam,13.75,15,0.09090909090909091,NBA Daily Main Market 10/31,PF,58,NBA,2022-10-31
Trae Young,11.2,2.92,-0.7392857142857143,NBA Daily Main Market 10/31,PG,23,NBA,2022-10-31
Paul George,10.05,25,1.4875621890547261,NBA Daily Main Market 10/31,SF,74.25,NBA,2022-10-31
Ja Morant,5.55,11.5,1.0720720720720722,NBA Daily Main Market 10/31,PG,49.75,NBA,2022-10-31
Joel Embiid,1,1,0,NBA Daily Main Market 10/31,C,0,NBA,2022-10-31
Fred VanVleet,1,1,0,NBA Daily Main Market 10/31,PG,0,NBA,2022-10-31
RJ Barrett,4.17,3.1,-0.25659472422062346,NBA Daily Main Market 10/30,SG,24.75,NBA,2022-10-30
Luka Doncic,16.66,20,0.2004801920768307,NBA Daily Main Market 10/30,PG,59.75,NBA,2022-10-30
