player,date,num_pos,num_neg,num_neutral,sum_sent_score,total_tweets,avg_sent_score,pos_perc,neg_perc,neutral_perc
Brandon Ingram,2022-10-20,222,100,150,28.4679642252246,472,0.060313483528018214,0.4703389830508475,0.211864406779661,0.3177966101694915
Anthony Davis,2022-10-20,479,803,662,-106.076068148668,1944,-0.054565878677298355,0.2463991769547325,0.4130658436213992,0.3405349794238683
Khris Middleton,2022-10-20,81,55,29,0.556577121592102,165,0.00337319467631577,0.4909090909090909,0.3333333333333333,0.17575757575757575
Bam Adebayo,2022-10-20,24,26,10,1.09502751165429,60,0.0182504585275715,0.4,0.43333333333333335,0.16666666666666666
Darius Garland,2022-10-20,101,109,48,-4.48561845125201,258,-0.017386118028108563,0.39147286821705424,0.42248062015503873,0.18604651162790697
Shai Gilgeous-Alexander,2022-10-20,24,26,15,-0.444872225373839,65,-0.0068441880826744465,0.36923076923076925,0.4,0.23076923076923078
Karl-Anthony Towns,2022-10-20,29,14,16,2.98745991759469,59,0.050634913857537114,0.4915254237288136,0.23728813559322035,0.2711864406779661
James Harden,2022-10-20,969,2240,79,-212.013195384758,3288,-0.0644808988396466,0.2947080291970803,0.681265206812652,0.02402676399026764
Jamal Murray,2022-10-20,66,78,26,-3.95189717942749,170,-0.023246453996632294,0.38823529411764707,0.4588235294117647,0.15294117647058825
De’Aaron Fox,2022-10-20,83,58,37,8.82572420673248,178,0.04958272026254202,0.46629213483146065,0.3258426966292135,0.20786516853932585
Dejounte Murray,2022-10-20,123,37,35,15.7058253394302,195,0.08054269404836001,0.6307692307692307,0.18974358974358974,0.1794871794871795
Rudy Gobert,2022-10-20,199,96,93,21.3884945754836,388,0.05512498601928762,0.5128865979381443,0.24742268041237114,0.23969072164948454
Andrew Wiggins,2022-10-20,59,11,32,8.71564511334953,102,0.08544750111126989,0.5784313725490197,0.10784313725490197,0.3137254901960784
Domantas Sabonis,2022-10-20,14,10,10,0.647146553685805,34,0.01903372216722956,0.4117647058823529,0.29411764705882354,0.29411764705882354
Deandre Ayton,2022-10-20,60,43,33,4.10414812744879,136,0.030177559760652867,0.4411764705882353,0.3161764705882353,0.2426470588235294
